window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
92,1698376151.407962,1698376151.907962,724,54239.0,74.9157458563536,3.164364640883978,1448.0,0.9917127071823204,8,716,0,1
93,1698376151.907962,1698376152.407962,792,115238.0,145.50252525252526,76.63383838383838,1584.0,0.8207070707070707,143,649,0,1
94,1698376152.407962,1698376152.907962,207,18375.0,88.76811594202898,21.879227053140095,414.0,0.9516908212560387,11,196,0,1
95,1698376152.907962,1698376153.407962,148,15653.0,105.76351351351352,34.5472972972973,296.0,0.918918918918919,8,140,0,1
96,1698376153.407962,1698376153.907962,225,21333.0,94.81333333333333,25.204444444444444,450.0,0.9422222222222222,13,212,0,1
97,1698376153.907962,1698376154.407962,482,54357.0,112.77385892116183,43.72821576763486,964.0,0.8983402489626556,43,439,0,1
98,1698376154.407962,1698376154.907962,227,18899.0,83.25550660792952,14.45374449339207,454.0,0.9691629955947136,12,215,0,1
99,1698376154.907962,1698376155.407962,110,13615.0,123.77272727272727,53.336363636363636,220.0,0.8818181818181818,3,107,0,1
100,1698376155.407962,1698376155.907962,325,31381.0,96.55692307692307,25.141538461538463,650.0,0.9446153846153846,19,306,0,1
101,1698376155.907962,1698376156.407962,485,42838.0,88.3257731958763,20.016494845360825,970.0,0.954639175257732,20,465,10,1
102,1698376156.407962,1698376156.907962,656,55919.0,85.2423780487805,17.21798780487805,1312.0,0.9603658536585366,25,631,89,1
103,1698376156.907962,1698376157.407962,414,30503.0,73.67874396135265,7.195652173913044,828.0,0.9855072463768116,7,407,168,1
104,1698376157.407962,1698376157.907962,719,52562.0,73.10431154381085,7.3268428372739915,1438.0,0.9833101529902643,13,614,241,1
105,1698376157.907962,1698376158.407962,1034,131846.0,127.51063829787235,61.34816247582205,2068.0,0.8529980657640233,153,772,5,1
106,1698376158.407962,1698376158.907962,1032,161669.0,156.65600775193798,88.37693798449612,2064.0,0.8013565891472868,200,832,0,1
107,1698376158.907962,1698376159.407962,816,165953.0,203.37377450980392,134.81495098039215,1632.0,0.6838235294117647,258,558,0,1
108,1698376159.407962,1698376159.907962,1337,137664.0,102.96484667165295,36.282722513089006,2674.0,0.9162303664921466,111,1226,271,1
109,1698376159.907962,1698376160.407962,1590,149641.0,94.11383647798742,25.039622641509435,3180.0,0.9421383647798742,89,1430,130,1
110,1698376160.407962,1698376160.907962,133,23249.0,174.8045112781955,105.70676691729324,266.0,0.7368421052631579,35,98,0,1
114,1698376162.407962,1698376162.907962,1,512.0,512.0,446.0,2.0,0.0,0,1,0,1
115,1698376162.907962,1698376163.407962,880,71132.0,80.83181818181818,12.795454545454545,1760.0,0.9704545454545455,31,849,140,1
116,1698376163.407962,1698376163.907962,932,98167.0,105.3293991416309,35.9087982832618,1864.0,0.9141630901287554,80,840,90,1
117,1698376163.907962,1698376164.407962,1571,215009.0,136.8612348822406,68.93889242520687,3142.0,0.8357733927434755,256,1314,137,1
118,1698376164.407962,1698376164.907962,273,53084.0,194.44688644688645,126.1025641025641,546.0,0.706959706959707,80,193,1,1
122,1698376166.407962,1698376166.907962,1,504.0,504.0,438.0,2.0,0.0,0,1,0,1
123,1698376166.907962,1698376167.407962,406,30477.0,75.06650246305419,4.485221674876847,812.0,0.9901477832512315,8,398,3,1
124,1698376167.407962,1698376167.907962,175,13044.0,74.53714285714285,0.03428571428571429,350.0,1.0,0,174,0,1
131,1698376170.907962,1698376171.407962,337,24973.0,74.10385756676558,5.350148367952523,674.0,0.9881305637982196,7,330,2,1
132,1698376171.407962,1698376171.907962,170,14313.0,84.19411764705882,14.970588235294118,340.0,0.9588235294117647,7,163,0,1
139,1698376174.907962,1698376175.407962,84,5660.0,67.38095238095238,0.0,168.0,1.0,1,83,0,1
140,1698376175.407962,1698376175.907962,593,45143.0,76.12647554806071,5.337268128161889,1186.0,0.9881956155143339,11,582,1,1
141,1698376175.907962,1698376176.407962,145,12459.0,85.92413793103448,17.358620689655172,290.0,0.9586206896551724,7,138,0,1
142,1698376176.407962,1698376176.907962,363,30222.0,83.25619834710744,11.052341597796143,726.0,0.9724517906336089,5,358,0,1
143,1698376176.907962,1698376177.407962,682,64599.0,94.7199413489736,25.294721407624632,1364.0,0.9413489736070382,40,642,0,1
144,1698376177.407962,1698376177.907962,893,112703.0,126.20716685330348,58.43337066069429,1786.0,0.8622620380739082,120,773,0,1
145,1698376177.907962,1698376178.407962,664,102871.0,154.9262048192771,86.72138554216868,1328.0,0.7996987951807228,138,526,0,1
146,1698376178.407962,1698376178.907962,271,21883.0,80.74907749077491,10.114391143911439,542.0,0.974169741697417,3,268,0,1
147,1698376178.907962,1698376179.407962,150,17074.0,113.82666666666667,40.84,300.0,0.9066666666666666,14,136,0,1
148,1698376179.407962,1698376179.907962,273,31806.0,116.50549450549451,49.05494505494506,546.0,0.8827838827838828,36,237,0,1
